Converting PZ into negative
Starting reading in a PZ file
Image is 851 x 315
Description is My Pelicans ! 
263336 runs
Run 314 has length 1
Run 315 has length 1
Run 316 has length 1
Run 317 has length 1
Run 318 has length 1
Run 319 has length 1
Run 320 has length 1
Run 321 has length 1
Run 322 has length 1
Run 323 has length 1
Run 324 has length 1
Run 325 has length 1
Run 326 has length 1
Run 327 has length 1
Run 328 has length 1
Run 329 has length 1
Run 330 has length 1
Run 331 has length 1
Run 332 has length 1
Run 333 has length 1
Run 334 has length 1
Run 335 has length 1
Run 336 has length 1
Run 337 has length 1
Run 338 has length 1
Run 339 has length 1
Run 340 has length 1
Run 341 has length 1
Run 342 has length 1
Run 343 has length 1
Run 344 has length 1
Run 345 has length 1
Run 346 has length 1
Run 347 has length 1
Run 348 has length 1
Run 349 has length 1
Run 350 has length 1
Run 351 has length 1
Run 352 has length 1
Run 353 has length 1
Run 354 has length 1
Run 355 has length 2
Run 356 has length 1
Run 357 has length 1
Run 358 has length 1
Run 359 has length 1
Run 360 has length 1
Run 361 has length 1
Run 362 has length 1
Run 363 has length 1
Run 364 has length 1
Run 365 has length 1
Run 366 has length 1
Run 367 has length 1
Run 368 has length 1
Run 369 has length 1
Run 370 has length 1
Run 371 has length 1
Run 372 has length 1
Run 373 has length 1
Run 374 has length 1
Run 375 has length 1
Run 376 has length 1
Run 377 has length 1
Run 378 has length 1
Run 379 has length 1
Run 380 has length 1
Run 381 has length 1
Run 382 has length 1
Run 383 has length 1
Run 384 has length 1
Run 385 has length 1
Run 386 has length 1
Run 387 has length 1
Run 388 has length 1
Run 389 has length 1
Run 390 has length 1
Run 391 has length 1
Run 392 has length 1
Run 393 has length 1
Run 394 has length 1
Run 395 has length 1
Run 396 has length 1
Run 397 has length 1
Run 398 has length 1
Run 399 has length 1
Run 400 has length 1
Run 401 has length 1
Run 402 has length 1
Run 403 has length 1
Run 404 has length 1
Run 405 has length 1
Run 406 has length 1
Run 407 has length 1
Run 408 has length 1
Run 409 has length 1
Run 410 has length 1
Run 411 has length 1
Run 412 has length 1
Run 413 has length 1
Run 414 has length 1
Run 415 has length 1
Run 416 has length 1
Run 417 has length 1
Run 418 has length 1
Run 419 has length 1
Run 420 has length 1
Run 421 has length 1
Run 422 has length 1
Run 423 has length 1
Run 424 has length 1
Run 425 has length 1
Run 426 has length 1
Run 427 has length 1
Run 428 has length 1
Run 429 has length 1
Run 430 has length 1
Run 431 has length 1
Run 432 has length 1
Run 433 has length 1
Run 434 has length 1
Run 435 has length 1
Run 436 has length 1
Run 437 has length 1
Run 438 has length 1
Run 439 has length 1
Run 440 has length 1
Run 441 has length 1
Run 442 has length 1
Run 443 has length 1
Run 444 has length 1
Run 445 has length 1
Run 446 has length 1
Run 447 has length 1
Run 448 has length 1
Run 449 has length 1
Run 450 has length 1
Run 451 has length 1
Run 452 has length 1
Run 453 has length 1
Run 454 has length 1
Run 455 has length 1
Run 456 has length 1
Run 457 has length 1
Run 458 has length 1
Run 459 has length 1
Run 460 has length 1
Run 461 has length 1
Run 462 has length 1
Run 463 has length 1
Run 464 has length 1
Run 465 has length 1
Run 466 has length 1
Run 467 has length 1
Run 468 has length 1
Run 469 has length 1
Run 470 has length 1
Run 471 has length 1
Run 472 has length 1
Run 473 has length 1
Run 474 has length 1
Run 475 has length 1
Run 476 has length 1
Run 477 has length 1
Run 478 has length 1
Run 479 has length 1
Run 480 has length 1
Run 481 has length 1
Run 482 has length 1
Run 483 has length 1
Run 484 has length 1
Run 485 has length 1
Run 486 has length 1
Run 487 has length 1
Run 488 has length 1
Run 489 has length 1
Run 490 has length 1
Run 491 has length 1
Run 492 has length 1
Run 493 has length 1
Run 494 has length 1
Run 495 has length 1
Run 496 has length 1
Run 497 has length 1
Run 498 has length 1
Run 499 has length 1
Run 500 has length 1
Run 501 has length 1
Run 502 has length 1
Run 503 has length 1
Run 504 has length 1
Run 505 has length 1
Run 506 has length 1
Run 507 has length 1
Run 508 has length 1
Run 509 has length 1
Run 510 has length 1
Run 511 has length 1
Run 512 has length 1
Run 513 has length 1
Run 514 has length 1
Run 515 has length 1
Run 516 has length 1
Run 517 has length 1
Run 518 has length 1
Run 519 has length 2
Run 520 has length 1
Run 521 has length 1
Run 522 has length 1
Run 523 has length 1
Run 524 has length 1
Run 525 has length 1
Run 526 has length 1
Run 527 has length 1
Run 528 has length 1
Run 529 has length 1
Run 530 has length 1
Run 531 has length 1
Run 532 has length 1
Run 533 has length 1
Run 534 has length 1
Run 535 has length 1
Run 536 has length 1
Run 537 has length 1
Run 538 has length 1
Run 539 has length 1
Run 540 has length 1
Run 541 has length 1
Run 542 has length 1
Run 543 has length 2
Run 544 has length 1
Run 545 has length 1
Run 546 has length 1
Run 547 has length 1
Run 548 has length 1
Run 549 has length 1
Run 550 has length 1
Run 551 has length 1
Run 552 has length 1
Run 553 has length 1
Run 554 has length 1
Run 555 has length 1
Run 556 has length 1
Run 557 has length 1
Run 558 has length 1
Run 559 has length 1
Run 560 has length 1
Run 561 has length 1
Run 562 has length 1
Run 563 has length 1
Run 564 has length 1
Run 565 has length 1
Run 566 has length 1
Run 567 has length 1
Run 568 has length 2
Run 569 has length 1
Run 570 has length 1
Run 571 has length 1
Run 572 has length 1
Run 573 has length 1
Run 574 has length 1
Run 575 has length 1
Run 576 has length 1
Run 577 has length 1
Run 578 has length 1
Run 579 has length 1
Run 580 has length 2
Run 581 has length 2
Run 582 has length 1
Run 583 has length 1
Run 584 has length 1
Run 585 has length 1
Run 586 has length 1
Run 587 has length 1
Run 588 has length 1
Run 589 has length 1
Run 590 has length 1
Run 591 has length 1
Run 592 has length 1
Run 593 has length 1
Run 594 has length 1
Run 595 has length 1
Run 596 has length 1
Run 597 has length 1
Run 598 has length 1
Run 599 has length 1
Run 600 has length 1
Run 601 has length 1
Run 602 has length 1
Run 603 has length 1
Run 604 has length 1
Run 605 has length 1
Run 606 has length 1
Run 607 has length 1
Run 608 has length 2
Run 609 has length 1
Run 610 has length 1
Run 611 has length 1
Run 612 has length 1
Run 613 has length 1
Run 614 has length 1
Run 615 has length 1
Run 616 has length 1
Run 617 has length 1
Run 618 has length 1
Run 619 has length 1
Run 620 has length 1
Run 621 has length 1
Run 622 has length 2
Run 623 has length 1
Run 624 has length 1
Run 625 has length 1
Run 626 has length 1
Run 627 has length 1
Run 628 has length 1
Run 629 has length 2
Run 630 has length 1
Run 631 has length 1
Run 632 has length 1
Run 633 has length 1
Run 634 has length 1
Run 635 has length 1
Run 636 has length 1
Run 637 has length 1
Run 638 has length 1
Run 639 has length 1
Run 640 has length 1
Run 641 has length 1
Run 642 has length 1
Run 643 has length 1
Run 644 has length 1
Run 645 has length 1
Run 646 has length 1
Run 647 has length 1
Run 648 has length 1
Run 649 has length 1
Run 650 has length 1
Run 651 has length 1
Run 652 has length 1
Run 653 has length 1
Run 654 has length 1
Run 655 has length 1
Run 656 has length 1
Run 657 has length 1
Run 658 has length 1
Run 659 has length 1
Run 660 has length 1
Run 661 has length 1
Run 662 has length 1
Run 663 has length 1
Run 664 has length 1
Run 665 has length 1
Run 666 has length 1
Run 667 has length 1
Run 668 has length 1
Run 669 has length 1
Run 670 has length 1
Run 671 has length 1
Run 672 has length 1
Run 673 has length 1
Run 674 has length 1
Run 675 has length 1
Run 676 has length 1
Run 677 has length 1
Run 678 has length 1
Run 679 has length 1
Run 680 has length 1
Run 681 has length 1
Run 682 has length 1
Run 683 has length 1
Run 684 has length 1
Run 685 has length 1
Run 686 has length 1
Run 687 has length 1
Run 688 has length 1
Run 689 has length 1
Run 690 has length 1
Run 691 has length 1
Run 692 has length 1
Run 693 has length 1
Run 694 has length 1
Run 695 has length 1
Run 696 has length 1
Run 697 has length 1
Run 698 has length 1
Run 699 has length 1
Run 700 has length 1
Run 701 has length 1
Run 702 has length 1
Run 703 has length 1
Run 704 has length 1
Run 705 has length 1
Run 706 has length 1
Run 707 has length 1
Run 708 has length 1
Run 709 has length 1
Run 710 has length 1
Run 711 has length 1
Run 712 has length 1
Run 713 has length 1
Run 714 has length 1
Run 715 has length 1
Run 716 has length 1
Run 717 has length 1
Run 718 has length 1
Run 719 has length 1
Run 720 has length 1
Run 721 has length 1
Run 722 has length 1
Run 723 has length 1
Run 724 has length 1
Run 725 has length 2
Run 726 has length 1
Run 727 has length 1
Run 728 has length 1
Run 729 has length 1
Run 730 has length 1
Run 731 has length 1
Run 732 has length 1
Run 733 has length 1
Run 734 has length 1
Run 735 has length 1
Run 736 has length 1
Run 737 has length 1
Run 738 has length 1
Run 739 has length 1
Run 740 has length 1
Run 741 has length 1
Run 742 has length 1
Run 743 has length 1
Run 744 has length 1
Run 745 has length 1
Run 746 has length 1
Run 747 has length 1
Run 748 has length 1
Run 749 has length 1
Run 750 has length 1
Run 751 has length 1
Run 752 has length 1
Run 753 has length 1
Run 754 has length 1
Run 755 has length 1
Run 756 has length 1
Run 757 has length 1
Run 758 has length 1
Run 759 has length 1
Run 760 has length 1
Run 761 has length 1
Run 762 has length 1
Run 763 has length 1
Run 764 has length 1
Run 765 has length 1
Run 766 has length 1
Run 767 has length 1
Run 768 has length 1
Run 769 has length 1
Run 770 has length 1
Run 771 has length 1
Run 772 has length 1
Run 773 has length 1
Run 774 has length 1
Run 775 has length 1
Run 776 has length 2
Run 777 has length 1
Run 778 has length 1
Run 779 has length 1
Run 780 has length 1
Run 781 has length 1
Run 782 has length 1
Run 783 has length 1
Run 784 has length 1
Run 785 has length 1
Run 786 has length 1
Run 787 has length 1
Run 788 has length 1
Run 789 has length 1
Run 790 has length 1
Run 791 has length 1
Run 792 has length 1
Run 793 has length 1
Run 794 has length 1
Run 795 has length 1
Run 796 has length 1
Run 797 has length 1
Run 798 has length 1
Run 799 has length 1
Run 800 has length 1
Run 801 has length 1
Run 802 has length 1
Run 803 has length 1
Run 804 has length 1
Run 805 has length 1
Run 806 has length 1
Run 807 has length 1
Run 808 has length 1
Run 809 has length 1
Run 810 has length 1
Run 811 has length 1
Run 812 has length 1
Run 813 has length 1
Run 814 has length 1
Run 815 has length 1
Run 816 has length 1
Run 817 has length 1
Run 818 has length 1
Run 819 has length 1
Run 820 has length 1
Run 821 has length 2
Run 822 has length 1
Run 823 has length 1
Run 824 has length 1
Run 825 has length 1
Run 826 has length 1
Run 827 has length 1
Run 828 has length 2
Run 829 has length 1
Run 830 has length 1
Run 831 has length 1
Run 832 has length 1
Run 833 has length 1
Run 834 has length 1
Run 835 has length 1
Run 836 has length 1
Run 837 has length 1
Run 838 has length 1
Run 839 has length 1
Run 840 has length 1
Run 841 has length 1
Run 842 has length 1
Run 843 has length 1
Run 844 has length 1
Run 845 has length 1
Run 846 has length 1
Run 847 has length 1
Run 848 has length 1
Run 849 has length 1
Run 850 has length 1
Run 851 has length 1
Run 852 has length 1
Run 853 has length 1
Run 854 has length 1
Run 855 has length 1
Run 856 has length 1
Run 857 has length 1
Run 858 has length 1
Run 859 has length 1
Run 860 has length 1
Run 861 has length 1
Run 862 has length 1
Run 863 has length 1
Run 864 has length 1
Run 865 has length 1
Run 866 has length 1
Run 867 has length 1
Run 868 has length 1
Run 869 has length 1
Run 870 has length 1
Run 871 has length 1
Run 872 has length 1
Run 873 has length 1
Run 874 has length 1
Run 875 has length 1
Run 876 has length 1
Run 877 has length 1
Run 878 has length 1
Run 879 has length 1
Run 880 has length 1
Run 881 has length 1
Run 882 has length 1
Run 883 has length 1
Run 884 has length 1
Run 885 has length 1
Run 886 has length 1
Run 887 has length 1
Run 888 has length 1
Run 889 has length 1
Run 890 has length 1
Run 891 has length 1
Run 892 has length 1
Run 893 has length 1
Run 894 has length 1
Run 895 has length 1
Run 896 has length 1
Run 897 has length 1
Run 898 has length 2
Run 899 has length 1
Run 900 has length 1
Run 901 has length 1
Run 902 has length 1
Run 903 has length 1
Run 904 has length 1
Run 905 has length 1
Run 906 has length 1
Run 907 has length 1
Run 908 has length 1
Run 909 has length 1
Run 910 has length 1
Run 911 has length 2
Run 912 has length 2
Run 913 has length 1
Run 914 has length 1
Run 915 has length 1
Run 916 has length 1
Run 917 has length 1
Run 918 has length 1
Run 919 has length 1
Run 920 has length 1
Run 921 has length 1
Run 922 has length 1
Run 923 has length 1
Run 924 has length 1
Run 925 has length 1
